participant;gender;educational_background;word;position_inside_the_word;preceding_vowel;word_category;F3 Midpoint;F4 Midpoint;F3 Average;F4 Average
pr01;woman;doctor;york ;final;o;noun;1652.4599427118258;3280.1485679797997;1793.3899679563544;3243.261829252775
pr01;woman;doctor;puerto;internal ;e;noun;2227.351520618871;3268.571137695696;2414.1008045516455;3333.2232212651656
pr01;woman;doctor;hablar;final;a;verb;2303.8561973511864;3543.0595430130325;2292.8131538883194;3488.2670168159675
pr01;woman;doctor;oportunidades;internal ;o;noun;2590.010455784171;3751.191104183818;2641.733824722215;3750.0245532467675
pr01;woman;doctor;lugar;final;a;noun;2257.7213737175875;3151.9150814811514;2280.0756802542032;3233.651630998673
pr01;woman;doctor;prosperar;final;a;verb;2367.9185283774405;3345.2253439154115;2418.933282515149;3085.39226906828
pr01;woman;doctor;puerto;internal ;e;noun;2526.835300104307;3563.7119620703643;2515.1804403239394;3549.9680785671726
pr01;woman;doctor;buscar;final;a;verb;2314.5165590948977;3571.734991595678;2314.231986667051;3588.754950792155
pr01;woman;doctor;puerta;internal ;e;noun;3270.485587491707;4349.835847483658;2661.0630254218854;3767.338433739954
pr01;woman;doctor;llegar;final;a;verb;2192.2365637898706;3631.2556696170204;2194.4174847287777;3627.0320061740877
pr01;woman;doctor;york ;final;o;noun;1922.6964726378028;3626.9495502794384;2036.2449756212038;3728.0273140183476
pr01;woman;doctor;invierno;internal ;e;noun;2423.907586228402;3543.191875779671;2378.4500035508604;3596.9897196397583
pr01;woman;doctor;fuerte ;internal ;e;adjective;1954.7527364827056;3553.1540107274695;2124.112560984391;3587.718762449404
pr01;woman;doctor;intimidar;final;a;verb;2081.44215962129;3626.5134876361844;2138.2688008048667;3645.137609367367
pr01;woman;doctor;mejor;final;o;adjective;1934.804819667201;3188.694961784321;1986.3981351803632;3280.011812533464
pr01;woman;doctor;puertorriqueños;internal ;e;noun;2956.500715403373;3268.3812110346444;2662.7526251186746;3179.366152974969
pr01;woman;doctor;estar;final;a;verb;2249.883924694396;3536.0536268330306;2309.7454146267173;3529.4067254031725
pr01;woman;doctor;cierta;internal ;e;adjective;2501.2566413846;3560.412380640722;2451.938477837259;3670.0081390103537
pr01;woman;doctor;fuerte ;internal ;e;adjective;2334.7286558567157;3493.1214349437632;2226.852506327232;3412.2248028067006
pr01;woman;doctor;mar;final;a;noun;2545.1836101418626;3695.487200982122;2501.2648134402666;3662.574533614995
pr01;woman;doctor;calor;final;o;noun;2009.1224966011891;3425.923946575832;2011.085117026267;3512.2216318133705
pr01;woman;doctor;detenerse;internal ;e;verb;2365.857425508072;3548.9195994453394;2414.118230183794;3504.2913232141595
pr01;woman;doctor;por;final;o;preposition;2427.371612796627;2773.228515045675;2272.6426604410126;2974.245391234144
pr01;woman;doctor;puertas;internal ;e;noun;2024.4575293251291;3382.035527594453;2197.243579663526;3427.151603883908
pr01;woman;doctor;poder;final;e;verb;2382.8000031029596;3783.199187824608;2407.972913806926;3759.507210355035
pr01;woman;doctor;ganar;final;a;verb;2281.7654144140547;3355.334012171972;2299.526704224857;3370.821299774131
pr01;woman;doctor;enviar;final;a;verb;2362.27759328453;3499.2564441977484;2347.393662238585;3496.521772508678
pr01;woman;doctor;largas;internal ;a;adjective;2099.0794295429982;3760.653244474676;2028.2268697348406;3726.492562083695
pr01;woman;doctor;descargando;internal ;a;verb;2382.2016296565816;3169.849507577396;2358.539619003614;3324.554213767412
pr01;woman;doctor;mejor;final;o;adjective;1880.197254907713;3131.4022919026124;1999.31857817815;3172.9653309607634
pr02;man;doctor;york ;final;o;noun;2287.338092008197;3683.1072356497752;2320.4963187601975;3413.3821319604026
pr02;man;doctor;puerto;internal ;e;noun;2485.129045021037;4163.658659688456;2390.802567283923;3599.0416882355503
pr02;man;doctor;hablar;final;a;verb;2098.576558144831;2671.66698771356;2436.68618207595;3118.12221303278
pr02;man;doctor;oportunidades;internal ;o;noun;2452.230853689072;3677.51625263592;2368.8318447658467;3648.8622839941454
pr02;man;doctor;lugar;final;a;noun;2478.784172808274;3017.2329369748927;2529.477821011044;3000.143908692215
pr02;man;doctor;prosperar;final;a;verb;2394.9370671284687;3920.869838290564;2344.163809732599;3546.104655399493
pr02;man;doctor;puerto;internal ;e;noun;2253.022749041199;2974.653543919808;2212.143009504553;3068.3723955639184
pr02;man;doctor;buscar;final;a;verb;2568.031579994805;3744.671041197129;2597.0826391978576;3773.101189421071
pr02;man;doctor;puerta;internal ;e;noun;2663.7284192563584;3978.230241295726;2493.6114209602865;3499.794698693696
